GeoFIPS,GeoName,Region,LineCode,Description,Unit,Year,Value
0,United States,,91, Personal dividend income ,Thousands of dollars,1958,11599710
0,United States,,91, Personal dividend income ,Thousands of dollars,1959,12606964
0,United States,,91, Personal dividend income ,Thousands of dollars,1960,13366000
0,United States,,91, Personal dividend income ,Thousands of dollars,1961,13901000
0,United States,,91, Personal dividend income ,Thousands of dollars,1962,15027000
0,United States,,91, Personal dividend income ,Thousands of dollars,1963,16236000
0,United States,,91, Personal dividend income ,Thousands of dollars,1964,18194000
0,United States,,91, Personal dividend income ,Thousands of dollars,1965,20205000
0,United States,,91, Personal dividend income ,Thousands of dollars,1966,20670000
0,United States,,91, Personal dividend income ,Thousands of dollars,1967,21510000
0,United States,,91, Personal dividend income ,Thousands of dollars,1968,23535000
0,United States,,91, Personal dividend income ,Thousands of dollars,1969,24239000
0,United States,,91, Personal dividend income ,Thousands of dollars,1970,24307000
0,United States,,91, Personal dividend income ,Thousands of dollars,1971,25027000
0,United States,,91, Personal dividend income ,Thousands of dollars,1972,26836000
0,United States,,91, Personal dividend income ,Thousands of dollars,1973,29880000
0,United States,,91, Personal dividend income ,Thousands of dollars,1974,33187000
0,United States,,91, Personal dividend income ,Thousands of dollars,1975,32922000
0,United States,,91, Personal dividend income ,Thousands of dollars,1976,38971000
0,United States,,91, Personal dividend income ,Thousands of dollars,1977,44723000
0,United States,,91, Personal dividend income ,Thousands of dollars,1978,50728000
0,United States,,91, Personal dividend income ,Thousands of dollars,1979,57657000
0,United States,,91, Personal dividend income ,Thousands of dollars,1980,64196000
0,United States,,91, Personal dividend income ,Thousands of dollars,1981,69733000
0,United States,,91, Personal dividend income ,Thousands of dollars,1982,73124000
0,United States,,91, Personal dividend income ,Thousands of dollars,1983,81986000
0,United States,,91, Personal dividend income ,Thousands of dollars,1984,85810000
0,United States,,91, Personal dividend income ,Thousands of dollars,1985,93794000
0,United States,,91, Personal dividend income ,Thousands of dollars,1986,103121000
0,United States,,91, Personal dividend income ,Thousands of dollars,1987,101967000
0,United States,,91, Personal dividend income ,Thousands of dollars,1988,127971000
0,United States,,91, Personal dividend income ,Thousands of dollars,1989,157486000
0,United States,,91, Personal dividend income ,Thousands of dollars,1990,169718000
0,United States,,91, Personal dividend income ,Thousands of dollars,1991,181009000
0,United States,,91, Personal dividend income ,Thousands of dollars,1992,189267000
0,United States,,91, Personal dividend income ,Thousands of dollars,1993,205119000
0,United States,,91, Personal dividend income ,Thousands of dollars,1994,237329000
0,United States,,91, Personal dividend income ,Thousands of dollars,1995,259191000
